"","lyftdf1","id"
"151","The fact that #Lyft is charging $45 right now for a ten minute ride is some insane shit.","151"
"152","‚Äú#Lyft is trying to catch up to the self-driving efforts of rival #Uber, which is operating its own autonomous taxi‚Ä¶ https://t.co/SM6N6IkS04","152"
"153","Only #FinalBattle I'm worried about is making big cash from #Lyft and #Uber in the snow. All due respect to @ROH","153"
"154","Love Au Bon Pain? Get there free w/ Lyft - $50 credit Use Lyft Promo Code COAX #food #restaurant #foodie #grub #Lyft #uber #date","154"
"155","Want a free ride to Legion Field ? Go w/ Lyft - $50 Lyft credit for new users w/ Promo CODE CLEO #freeLyft #Lyft #stadium #uber","155"
"156","Love Jason's Deli? Get to it free with Lyft ($50 Lyft credit) New Lyft Promo code: NUMB #gift #Lyft #uber #taxi #food #restaurant #cab","156"
"157","LOVE NYC free w/ #Lyft 10 Free Taxi Rides #NYC #Broadway #theatre #timessquare  -Get Lyft and Use code NUMB","157"
"158","In San Diego, California ? $50 Free Lyft ride credit w/ Lyft Promo Code PLEX #freeLyft #uber #Lyft","158"
"159","Lyft to roll out carpool service in Portland @Lyft #Lyft https://t.co/07mCRAf2JN via @PDXBizJournal","159"
"160","Want a free ride to Commonwealth Stadium ? Go w/ Lyft - $50 Lyft credit for new users w/ Promo CODE CLEO #freeLyft #Lyft #stadium #uber","160"
"161","On the way to Smith Haven Malin Lake Grove? Go 100% free w/ $50 Free Lyft Credit Use Lyft Coupon Code ZOOT #shops #shopping #shop #Lyft","161"
"162","Visiting Ann Arbor ? Get around free w/ Lyft - 10 free rides w/ Lyft Promo Code:  OATH #travel #uber #Lyft #free","162"
"163","Going to Galleria at White Plains in White Plains? Get there free w/ $50 Free Lyft Credit Enter Lyft Promo Code DUS‚Ä¶ https://t.co/79P7jzSSNS","163"
"164","Want a free ride to Sun Life Stadium ? Go w/ Lyft - $50 Lyft credit for new users w/ Promo CODE CLEO #freeLyft #Lyft #stadium #uber","164"
"165","Calling all Memphis Tigers football fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","165"
"166","Going to Donald W. Reynolds Razorback Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX‚Ä¶ https://t.co/auNoTWJWua","166"
"167","Going to Los Angeles Memorial Coliseum ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/yygnkAaZue  #uber #Lyft","167"
"168","Love Friendly's? Get to it free with Lyft ($50 Lyft credit) New Lyft Promo code: NUMB #gift #Lyft #uber #taxi #food #restaurant #cab","168"
"169","No new flights or airlines for BTR this year, but officials tout some wins https://t.co/mzLOmAY83h #rideshare‚Ä¶ https://t.co/MVVmX4fUbo","169"
"170","If you want to take a #FREE ride or food with #Uber Ì†ΩÌ∫ò or #LyftÌ†ºÌæà

I HAVE #PROMO #CODES FOR YOU

#UberEATSÌ†ºÌΩΩ: UE-SARAH‚Ä¶ https://t.co/J1sMsYRHtd","170"
"171","Going to Notre Dame Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/rQ9ITj1pA8  #uber #Lyft","171"
"172","Going to Gaylord Family Oklahoma Memorial Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX‚Ä¶ https://t.co/1ORRI57A0T","172"
"173","Calling all Penn Quakers football fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","173"
"174","Quite the compliment...Best person ever met‚Äù! I Love me some @lyft #Lyft https://t.co/XUKfBj2eG3","174"
"175","Going to Rose Bowl ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/SD7LiT0alq  #uber #Lyft","175"
"176","Want a free taxi ride to Sun Life Stadium ? Go w/ Lyft - $50 Lyft credit for new users w/ code: LICK #freeLyft #Lyft #stadium #uber","176"
"177","Forget Lyft Use #Lyft and get a ride quick. #quickcab #cab #taxi Download Lyft &amp; use the code ZOOT https://t.co/PiFOqc0t7x","177"
"178","The #LYFT ""Digital Daily"" @SocialNewsCorp https://t.co/LqEcJwZAsO #uber","178"
"179","Heading to Fiesta Malin Mesa? Go free w/ 10 Free Lyft rides Use Lyft Coupon Code COAX #shopping #store #mall #Lyft","179"
"180","Going to Memorial Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/kOh7JgC2gE  #uber #Lyft","180"
"181","Going to Davis Wade Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/SD7LiT0alq  #uber #Lyft","181"
"182","Got flagged for ‚Äúnavigation.‚Äù Yeah genius, like I‚Äôd risk my life every night for min. wage if I invented @waze.
I‚Äôd‚Ä¶ https://t.co/1gls8oLoeL","182"
"183","My @lyft driver verbally assaulted me for 20 minutes .When I contacted #Lyft and asked for a refund they told me al‚Ä¶ https://t.co/DuI8ZS4VfF","183"
"184","Going to Rose Bowl ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/P3SP1vQ6Oo  #uber #Lyft","184"
"185","Calling all LSU Tigers football fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","185"
"186","Visiting Dallas ? Get around free w/ Lyft - 10 free rides w/ Lyft Promo Code:  OATH #travel #uber #Lyft #free","186"
"187","City Working to Bring #Ridesharing Services to Martensville - Read full article &gt;&gt; https://t.co/3sH8PeMLYH #Economy‚Ä¶ https://t.co/T4Xdc7CR0u","187"
"188","Visiting Miami ? Get around free w/ Lyft - 10 free rides w/ Lyft Promo Code:  OATH #travel #uber #Lyft #free","188"
"189","Going to Notre Dame Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/P3SP1vQ6Oo  #uber #Lyft","189"
"190","What‚Äôs Next After the Repeal of Net Neutrality Technology#Uberdriverconfessions, #uber, #lyft,... https://t.co/ANYDUQJ9zC","190"
"191","Love Sbarro? Get to it free with Lyft ($50 Lyft credit) New Lyft Promo code: NUMB #gift #Lyft #uber #taxi #food #restaurant #cab","191"
